Pattern,Purpose,Options,Keywords,Notes,Code Example
Fast Search (flat),Quick video listing without full metadata,"extract_flat: 'in_playlist', quiet: True, no_warnings: True, skip_download: True",search flat fast playlist keyword channel,"Returns: title, url/id, view_count, thumbnails, uploader. NO upload_date","opts = {'extract_flat': 'in_playlist', 'quiet': True, 'no_warnings': True, 'skip_download': True}"
Full Extraction,Complete metadata including upload_date,"quiet: True, no_warnings: True, skip_download: True, ignoreerrors: True",full extraction date metadata trending complete,"Slow but complete. Always add ignoreerrors: True. Filter None entries","opts = {'quiet': True, 'no_warnings': True, 'skip_download': True, 'ignoreerrors': True}"
Video Download MP4,Download video+audio merged to MP4,"format: f'bestvideo[height<={h}]+bestaudio/best[height<={h}]/best', merge_output_format: 'mp4', ffmpeg_location: FFMPEG_DIR",download video mp4 merge quality height format,"Format string selects best video up to height limit + best audio, merges to MP4","opts = {'format': f'bestvideo[height<={h}]+bestaudio/best[height<={h}]/best', 'merge_output_format': 'mp4', 'ffmpeg_location': FFMPEG_DIR}"
Audio Download MP3,Extract audio as MP3,"format: 'bestaudio/best', postprocessors: [{'key': 'FFmpegExtractAudio', 'preferredcodec': 'mp3'}]",download audio mp3 extract music,Uses FFmpegExtractAudio postprocessor. Requires ffmpeg_location,"opts = {'format': 'bestaudio/best', 'postprocessors': [{'key': 'FFmpegExtractAudio', 'preferredcodec': 'mp3'}], 'ffmpeg_location': FFMPEG_DIR}"
Progress Hook,Track download progress in real-time,"progress_hooks: [hook_fn]",progress hook callback percent speed eta status,"Hook receives dict with status/downloaded_bytes/total_bytes/speed/eta. Status: downloading/finished","def hook(d): if d['status'] == 'downloading': percent = d.get('downloaded_bytes', 0) / d.get('total_bytes', 1) * 100"
Output Template,Control output filename pattern,"outtmpl: os.path.join(dir, '%(title)s_TAG.%(ext)s')",output filename template path title tag,"Use TAG suffix to find output file after download. os.path.join for Windows compatibility","opts = {'outtmpl': os.path.join(task_dir, '%(title)s_TAG.%(ext)s')}"
Language Locale,Set YouTube interface language for search,"extractor_args: {'youtube': {'hl': ['ja'], 'gl': ['JP']}}",language locale region search youtube japanese chinese,"hl=interface language, gl=region. Maps: zh-cn→zh-CN/CN, zh-tw→zh-TW/TW, ja→ja/JP, en→en/US","opts = {'extractor_args': {'youtube': {'hl': ['ja'], 'gl': ['JP']}}}"
Date Filter (sp),YouTube search date range filter,"url: f'ytsearch{n}:{query}', extractor_args: {'youtube:search': {'sp': ['EgIIAw%3D%3D']}}",date filter week month year period trending sp,"sp values: week=EgIIAw%3D%3D, month=EgIIBA%3D%3D, year=EgIIBQ%3D%3D. Only works with ytsearch URL","opts = {'extractor_args': {'youtube:search': {'sp': ['EgIIAw%3D%3D']}}}"
JS Runtime Fix,Avoid PhantomJS/Node.js interpreter issues,"js_runtimes: {'node': {}}",js runtime phantomjs node interpreter error,Windows may have PhantomJS installed which causes yt-dlp JS extraction failures,"opts = {'js_runtimes': {'node': {}}}"
Subtitle Extraction,Get subtitle URLs from video info,"writesubtitles: False (use extract_info only)",subtitle extract info url cache store,"NEVER use writesubtitles/writeautomaticsub to download. Extract URLs from info dict and fetch via HTTP","info = ydl.extract_info(url); subs = info.get('subtitles', {}); auto = info.get('automatic_captions', {})"
Combined Stream,Get best combined (video+audio) stream URL,"format: 'best[height<=720]'",stream combined 720p preview playback proxy,"For preview playback. Returns single URL with both video+audio. Max 720p","Select format with both vcodec!='none' and acodec!='none' from info['formats']"
DASH Formats,Get separate video-only and audio-only streams,"(no special opts — parsed from info['formats'])",dash format 1080p 4k separate video audio shaka,"Filter formats: video-only (vcodec!='none' and acodec=='none', height>720) + best audio-only","dash_fmts = [f for f in formats if f.get('vcodec','none')!='none' and f.get('acodec','none')=='none' and (f.get('height',0) or 0) > 720]"
