Issue,Cause,Fix,Category,Severity,Keywords,Code Example
ffmpeg not found,WinGet installs to deep non-PATH directory,Auto-detect via glob pattern in ~/AppData/Local/Microsoft/WinGet/Packages/Gyan.FFmpeg*/ffmpeg*/bin. Set ffmpeg_location in yt-dlp opts,system,CRITICAL,ffmpeg winget path windows install,"FFMPEG_DIR = glob.glob(os.path.join(os.path.expanduser('~'), 'AppData/Local/Microsoft/WinGet/Packages/Gyan.FFmpeg*/ffmpeg*/bin'))[0]"
Explorer opens wrong folder,Backslashes in inline JS onclick handlers get escaped,Use data-* attributes + addEventListener instead of inline onclick with paths,frontend,HIGH,explorer folder path backslash onclick windows,"card.dataset.filepath = filepath; card.addEventListener('click', () => openFileFolder(card.dataset.filepath))"
Trending returns ERROR,Unavailable video kills entire batch extraction,Add ignoreerrors: True to yt-dlp opts and filter None entries from results,ytdlp,HIGH,trending error unavailable ignore batch,"opts = {'ignoreerrors': True}; entries = [e for e in info.get('entries', []) if e is not None]"
No results with language filter,Japanese chars detected before Chinese keywords in mixed titles,_ZH_KEYWORDS check runs FIRST and overrides Japanese char detection,search,MEDIUM,language filter japanese chinese detection keyword,Check _ZH_KEYWORDS before hiragana/katakana detection
ytsearchdate not working,Not a valid yt-dlp URL scheme,Use ytsearch + local sort by upload_date instead,ytdlp,MEDIUM,search date sort ytsearch scheme,Use 'ytsearch20:{query}' with sort key=lambda e: e.get('upload_date')
extract_flat missing upload_date,Flat extraction skips per-video metadata for speed,Use full extraction for trending mode with ignoreerrors: True,ytdlp,MEDIUM,flat extraction date metadata trending,"extract_flat: 'in_playlist' is fast but no upload_date. Full extraction is slow but complete"
CSS not updating in browser,Browser caching static files aggressively,Hard refresh (Ctrl+Shift+R) or Flask debug mode auto-reloads,frontend,LOW,css cache browser refresh debug,Flask debug=True auto-reloads on app.py changes. Browser needs hard refresh for CSS/JS
Subtitle 429 rate limiting,YouTube timedtext API IP-level rate limit from too many requests,Global cooldown _subtitle_429_until (5min). NO retries — single attempt then cooldown,subtitle,CRITICAL,429 rate limit subtitle cooldown timedtext,"_subtitle_429_until = time.time() + 300  # 5 min cooldown, no retries"
Subtitle store miss,video_id mismatch between _extract_video_id() regex and info.get('id'),Always pass video_id explicitly from frontend (stored from /api/info response),subtitle,HIGH,subtitle store miss video_id mismatch cache,"Pass video_id from frontend: body: JSON.stringify({ url, lang, video_id: currentVideoId })"
YouTube no SRT format,YouTube only provides VTT format natively (not SRT),Always fetch VTT then convert to SRT with _vtt_to_srt() converter,subtitle,HIGH,srt vtt format convert subtitle youtube,"content = _fetch_subtitle_url(url, lang, store, now); srt = _vtt_to_srt(content)"
Thread safety on stores,Concurrent downloads accessing progress_store/file_store,Use threading.Lock context manager for all store read/write operations,download,HIGH,thread lock concurrent race condition progress,"with lock: progress_store[task_id] = {...}"
Duplicate filename overwrite,Multiple downloads of same video overwrite existing file,Counter suffix loop: filename (1).ext — filename (2).ext etc,download,MEDIUM,duplicate filename overwrite counter suffix,"while os.path.exists(dest): counter += 1; dest = f'{name} ({counter}).{ext}'"
DASH probe timeout,Very large MP4 or slow connection exceeds probe timeout,15s timeout on Range: bytes=0-16383 fetch. Fails if moov/sidx not in first 16KB,streaming,MEDIUM,dash probe timeout mp4 moov sidx range,_probe_mp4_ranges() fetches first 16KB with 15s timeout
Windows pipe encoding,print() on Windows uses cp1252 encoding which breaks Unicode,Add flush=True to all print() calls. Write to temp file + read with UTF-8 for subprocess,system,MEDIUM,windows encoding utf8 pipe print flush,"print(f'[subtitle] ...', flush=True)"
Empty subtitle content,VTT fetch returns HTML error page (Google 429 page) instead of VTT,Check content starts with 'WEBVTT' before caching. Return None if HTML detected,subtitle,MEDIUM,subtitle empty html error 429 google page,Check response content-type and first line before caching
Channel handle not found,@handle format not recognized or channel unavailable,Try direct channel URL fetch first then fall back to ytsearch,search,MEDIUM,channel handle search fallback ytsearch,Fall back to f'ytsearch20:@{handle}' if direct URL fails
