Method,Path,Purpose,Request Body,Response,Keywords,Category,Notes
GET,/,Serve HTML page,None,HTML template,index page html template render,routing,Single page application entry point
POST,/api/search,Search videos,"{ query, sort, mode, period, year, lang, duration_filter }","{ results: [{ title, channel, thumbnail, duration, view_count, url, upload_date }] }",search keyword channel trending filter language sort,search,Modes: keyword/channel/trending. Sort: views/date. Lang: all/zh-cn/zh-tw/en/ja. Duration: all/short/long
POST,/api/info,Video metadata + quality options + subtitles,"{ url }","{ title, channel, thumbnail, duration, duration_seconds, view_count, upload_date, quality_options, webpage_url, stream_url, video_id, dash_formats, subtitles }",info metadata quality stream subtitle preview dash,video,Populates subtitle_url_store. Returns video_id for all subsequent subtitle API calls
POST,/api/subtitle,Get VTT subtitle for playback,"{ url, lang, video_id }","text/vtt content (200) | { error, retry_after } (429) | { error } (404)",subtitle vtt playback preview caption track,subtitle,Uses _get_cached_subtitle(). Returns 429 with retry_after during cooldown period
POST,/api/download-subtitle,Download SRT subtitle file,"{ url, lang, save_dir, video_id }","{ filename, filepath } (200) | { error, retry_after } (429) | { error } (404)",subtitle srt download save file,subtitle,Fetches VTT then converts to SRT via _vtt_to_srt(). Handles duplicate filenames
POST,/api/download,Start threaded download,"{ url, quality, save_dir, keyword, subtitle_lang, video_id }","{ task_id }",download start thread task quality format,download,Spawns daemon thread _download_worker(). Supports subtitle burn-in via subtitle_lang param
GET,/api/progress/<id>,SSE progress stream,None,"SSE events: { status, percent, speed, eta, filename, filepath, file_size, error }",progress sse stream status percent speed eta,download,Status flow: starting→downloading→processing→burning_subtitles→done/error
GET,/api/file/<id>,Download completed file,None,Binary file attachment,file download serve binary attachment,download,Serves file from file_store[task_id] as attachment
POST,/api/open-folder,Open in Windows Explorer,"{ path }","{ ok: true }",folder explorer open windows path,system,Uses subprocess.Popen with explorer.exe. Normalizes path with os.path.normpath()
POST,/api/browse-folder,Native folder picker,None,"{ path }",folder browse picker dialog tkinter,system,Uses tkinter.filedialog.askdirectory() — runs in separate thread to avoid blocking
GET,/api/default-save-dir,Get default save path,None,"{ path }",folder default save directory downloads,system,Returns ~/Downloads/YT-Downloader
GET,/api/suggestions,Keyword + channel suggestions,None,"{ keywords, channels, channels_zh, channels_ja, channels_en }",suggestions keywords channels categories language,search,Hardcoded 2000+ lines. 4 language-filtered channel sets. Categories with 30 entries each
GET,/api/stream,Proxy YouTube CDN video,"?url=encoded_url (query param)",Proxied video/mp4 with Range header support,stream proxy video range cdn 720p combined,streaming,65536-byte chunks. Forwards Content-Length/Content-Range/Accept-Ranges. Returns 206 for Range requests
GET,/api/mpd,Generate DASH MPD manifest,"?video_url&audio_url&duration&width&height&vcodec&acodec&vbr&abr",application/dash+xml manifest,mpd dash manifest 1080p hd shaka player,streaming,Probes MP4 sidx/moov boxes via _probe_mp4_ranges(). Cached 20min. Uses /api/stream as BaseURL
